read_code,read_term,cat_final
134G.,Race: Oriental,Other
134H.,Race: Afro-Caribbean,Black
134I.,Race: Bangladeshi,Asian British
134J.,Race: Mixed,Mixed
134K.,Race: West indian,Black
134L.,Race: Afro-caucasian,Mixed
134M.,Race: Pakistani,Asian British
9T12.,Other European in New Zealand,Other
9T13.,New Zealand Maori,Other
9T14.,Samoan,Other
9T16.,Tongan,Other
9T17.,Niuean,Other
9T18.,Tokelauan,Other
9T19.,Fijian,Other
9T1B.,South East Asian,Asian British
9T1C.,Chinese,Other
X76Gp,Race: Other,Other
XaBz7,Black West Indian,Black
XaBz8,Black Guyana,Black
Xacua,Mixed: other Mixed/multiple ethnic backgrd - NI 2011 census,Mixed
Xacuc,Asian or Asian British: Indian - NI ethnic cat 2011 census,Asian British
Xacui,Asian/Asian British: Pakistani - NI ethnic cat 2011 census,Asian British
Xacuj,Asian/Asian British: Bangladeshi - NI ethnic cat 2011 census,Asian British
Xacuk,Asian/Asian British: Chinese - NI ethnic cat 2011 census,Other
Xacul,Asian/Asian British: other Asian - NI ethnic cat 2011 census,Asian British
Xacum,Black/Afri/Carib/Black Brit: African- NI eth cat 2011 census,Black
Xacun,Black/Afri/Carib/Black Brit: Caribbean- NI eth cat 2011 cens,Black
Xacuo,Black/Afri/Carib/Black Brit: other - NI eth cat 2011 census,Black
Xacup,Other ethnic group: Arab - NI ethnic category 2011 census,Other
Xacuq,Other ethnic group: any other grp- NI ethnic cat 2011 census,Other
XacuQ,White - Northern Ireland ethnic category 2011 census,White
XacuR,Irish Traveller - Northern Ireland ethnic cat 2011 census,White
Xacus,White: Scottish - Scotland ethnic category 2011 census,White
XacuS,Mixed: White and Black Caribbean - NI ethnic cat 2011 census,Mixed
Xacut,White: other British - Scotland ethnic category 2011 census,White
XacuT,Mixed: White and Black African - NI ethnic cat 2011 census,Mixed
Xacuu,White: Irish - Scotland ethnic category 2011 census,White
XacuU,Mixed: White and Asian - NI ethnic category 2011 census,Mixed
Xacuv,White: Gypsy/Irish Traveller - Scotland ethnic cat 2011 cens,White
Xacux,White: Polish - Scotland ethnic category 2011 census,White
Xacuy,White: other White ethnic grp- Scotland ethnic cat 2011 cens,White
Xacuz,Mixed/multiple ethnic grps: any- Scot ethnic cat 2011 census,Mixed
Xacv0,Asian: Pakistani/Pakistani Scot/Pakistani Brit- Scot 2011,Asian British
Xacv2,"Asian: Indian, Indian Scot/Indian Brit- Scotland 2011 census",Asian British
Xacv5,"Bangladeshi, Bangladeshi Scot or Bangladeshi Brit- Scot 2011",Asian British
Xacva,Carib/Black: any other Black/Caribbean grp - Scotland 2011,Black
Xacvb,Other ethnic grp: Arab/Arab Scot/Arab British- Scotland 2011,Other
Xacvc,Other ethnic grp: any other ethnic grp- Scotland 2011 census,Other
XacvF,Asian: Chinese - Scotland ethnic category 2011 census,Other
XacvG,Asian: other Asian group - Scotland ethnic cat 2011 census,Asian British
XacvH,African: African/African Scot/African Brit - Scotland 2011,Black
XacvI,African: any other African - Scotland ethnic cat 2011 census,Black
XacvJ,Carib/Black: Caribbean/Carib Scot/Carib Brit- Scotland 2011,Black
XacvZ,Carib/Black: Black/Black Scot/Black Brit- Scotland 2011 cens,Black
XaE4A,Vietnamese,Other
XaedN,Slovak Roma,White
XaedQ,Czech Roma,White
XaedS,Hungarian Roma,White
XaedT,Polish Roma,White
XaedU,Romanian Roma,White
XaedV,Roma ethnic group,White
XaedW,Bulgarian Roma,White
XaFwD,White British,White
XaFwE,White Irish,White
XaFwF,Other white ethnic group,White
XaFwG,Mixed ethnic census group,Mixed
XaFwH,Black - ethnic group,Black
XaFwy,Other black ethnic group,Black
XaFwz,Asian - ethnic group,Asian British
XaFx0,Other Asian ethnic group,Asian British
XaFx1,Other ethnic group,Other
XaFx2,Irish traveller,White
XaIB5,Black Caribbean and White,Mixed
XaIB6,Black African and White,Mixed
XaIuh,White Scottish,White
XaIui,Other white British ethnic group,White
XaJQv,British or mixed British - ethnic category 2001 census,White
XaJQw,Irish - ethnic category 2001 census,White
XaJQx,Other White background - ethnic category 2001 census,White
XaJQz,White and Black African - ethnic category 2001 census,Mixed
XaJR1,Other Mixed background - ethnic category 2001 census,Mixed
XaJR5,Other Asian background - ethnic category 2001 census,Asian British
XaJR6,Caribbean - ethnic category 2001 census,Black
XaJR7,African - ethnic category 2001 census,Black
XaJR8,Other Black background - ethnic category 2001 census,Black
XaJRa,Black British - ethnic category 2001 census,Black
XaJRb,Other Black or Black unspecified ethnic category 2001 census,Black
XaJRc,Vietnamese - ethnic category 2001 census,Other
XaJRC,English - ethnic category 2001 census,White
XaJRd,Japanese - ethnic category 2001 census,Other
XaJRD,Scottish - ethnic category 2001 census,White
XaJRe,Filipino - ethnic category 2001 census,Other
XaJRE,Welsh - ethnic category 2001 census,White
XaJRf,Malaysian - ethnic category 2001 census,Other
XaJRF,Northern Irish - ethnic category 2001 census,White
XaJRg,Cypriot (part not stated) - ethnic category 2001 census,White
XaJRG,Cornish - ethnic category 2001 census,White
XaJRh,Ulster Scots - ethnic category 2001 census,White
XaJRH,Black and Asian - ethnic category 2001 census,Mixed
XaJRi,Greek - ethnic category 2001 census,White
XaJRI,Black and Chinese - ethnic category 2001 census,Mixed
XaJRj,Greek Cypriot - ethnic category 2001 census,White
XaJRJ,Black and White - ethnic category 2001 census,Mixed
XaJRk,Turkish - ethnic category 2001 census,White
XaJRK,Chinese and White - ethnic category 2001 census,Mixed
XaJRl,Turkish Cypriot - ethnic category 2001 census,White
XaJRm,Italian - ethnic category 2001 census,White
XaJRM,Other Mixed or Mixed unspecified ethnic category 2001 census,Mixed
XaJRN,Mixed Asian - ethnic category 2001 census,Mixed
XaJRO,Punjabi - ethnic category 2001 census,Asian British
XaJRP,Kashmiri - ethnic category 2001 census,Asian British
XaJRQ,East African Asian - ethnic category 2001 census,Asian British
XaJRR,Sri Lankan - ethnic category 2001 census,Asian British
XaJRS,Tamil - ethnic category 2001 census,Asian British
XaJRT,Sinhalese - ethnic category 2001 census,Asian British
XaJRU,British Asian - ethnic category 2001 census,Asian British
XaJRV,Caribbean Asian - ethnic category 2001 census,Asian British
XaJRW,Other Asian or Asian unspecified ethnic category 2001 census,Asian British
XaJRX,Somali - ethnic category 2001 census,Black
XaJRY,Mixed Black - ethnic category 2001 census,Mixed
XaJRZ,Nigerian - ethnic category 2001 census,Black
XaJSa,South and Central American - ethnic category 2001 census,Other
XaJSb,Mauritian/Seychellois/Maldivian/St Helena eth cat 2001census,Other
XaJSc,Buddhist - ethnic category 2001 census,Other
XaJSd,Hindu - ethnic category 2001 census,Other
XaJSe,Muslim - ethnic category 2001 census,Other
XaJSE,Polish - ethnic category 2001 census,White
XaJSf,Sikh - ethnic category 2001 census,Other
XaJSF,Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census,White
XaJSG,Commonwealth (Russian) Indep States - ethn categ 2001 census,White
XaJSH,Kosovan - ethnic category 2001 census,White
XaJSI,Albanian - ethnic category 2001 census,White
XaJSJ,Bosnian - ethnic category 2001 census,White
XaJSK,Croatian - ethnic category 2001 census,White
XaJSL,Serbian - ethnic category 2001 census,White
XaJSM,Other republics former Yugoslavia - ethnic categ 2001 census,White
XaJSN,Mixed Irish and other White - ethnic category 2001 census,White
XaJSO,Other mixed White - ethnic category 2001 census,White
XaJSP,Oth White European/European unsp/Mixed European 2001 census,White
XaJSQ,Other White or White unspecified ethnic category 2001 census,White
XaJSR,Jewish - ethnic category 2001 census,Other
XaJST,North African - ethnic category 2001 census,Black
XaJSU,"Mid East (excl Israeli, Iranian & Arab) - eth cat 2001 cens",Other
XaJSV,Israeli - ethnic category 2001 census,Other
XaJSW,Iranian - ethnic category 2001 census,Other
XaJSX,Kurdish - ethnic category 2001 census,Other
XaJSY,Moroccan - ethnic category 2001 census,Other
XaJSZ,Latin American - ethnic category 2001 census,Other
XaN9x,Yemeni,Other
XaR4o,Romanian,White
XaR4p,Bulgarian,White
XaR61,Czech,White
XaVw5,Slovak,White
XaW8w,Portuguese,White
XaW95,Nepali,Asian British
XE2Nt,Black Caribbean/W.I./Guyana,Black
XE2Nu,Black N African/Arab/Iranian,Black
XE2Nv,Black East African Asian/Indo-Caribbean,Black
XE2Nw,Caribbean I./W.I./Guyana (NMO),Black
XE2Nw,Caribbean I./W.I./Guyana (NMO),Black
XE2Nx,N African Arab/Iranian (NMO),Other
XE2Ny,E Afric Asian/Indo-Carib (NMO),Asian British
XE2Ny,E Afric Asian/Indo-Carib (NMO),Asian British
XE2Nz,Greek/Greek Cypriot (NMO),White
XE2O0,Turkish/Turkish Cypriot (NMO),White
XM1S3,Black North African,Black
XM1S4,Black Arab,Black
XM1S4,Black Arab,Black
XM1S5,Black Iranian,Black
XM1S6,Black East African Asian,Black
XM1S7,Black Indo-Caribbean,Black
XM1S8,Caribbean Island (NMO),Black
XM1S9,West Indian (NMO),Black
XM1SA,Guyana (NMO),Black
XM1SB,North African Arab (NMO),Other
XM1SC,Iranian (NMO),Other
XM1SC,Iranian (NMO),Other
XM1SD,East African Asian (NMO),Asian British
XM1SE,Indo-Caribbean (NMO),Asian British
XM1SF,Greek (NMO),White
XM1SF,Greek (NMO),White
XM1SG,Greek Cypriot (NMO),White
XM1SH,Turkish (NMO),White
XM1SH,Turkish (NMO),White
XM1SI,Turkish Cypriot (NMO),White
XS7AU,Gypsies,White
Y1527,Traveller,White
Y9930,Race - British,White
Y9931,Race - Indian,Asian British
Y9932,Race - Mediterranean,White
