read_code,cat_vision_1,cat_vision_2,cat_caliber_1,cat_phenotype_1,cat_opensafely_2,cat_res56_1,read_term_1,read_term_2
9T...,NA,NA,Ethnic group not specified,NA,NA,NA,Ethnicity and other related nationality data,NA
9T1..,NA,NA,White Other,White Other,Other,NA,New Zealand ethnic groups,NA
9T1A.,NA,NA,Other ethnic group,NA,Other,NA,Other Pacific ethnic group,NA
134B.,NA,NA,NA,NA,White,NA,Race: Caucasian,NA
134C.,NA,NA,NA,NA,Other,NA,Race: Arab,NA
134D.,NA,NA,NA,NA,Other,NA,Race: Chinese,NA
134E.,NA,NA,NA,NA,Other,NA,Race: Japanese,NA
134F.,NA,NA,NA,NA,Other,NA,Race: Korean,NA
134G.,NA,NA,NA,NA,Other,NA,Race: Oriental,NA
134H.,NA,NA,NA,NA,Black,NA,Race: Afro-Caribbean,NA
134I.,NA,NA,NA,NA,Asian British,NA,Race: Bangladeshi,NA
134J.,NA,NA,NA,NA,Mixed,NA,Race: Mixed,NA
134K.,NA,NA,NA,NA,Black,NA,Race: West indian,NA
134L.,NA,NA,NA,NA,Mixed,NA,Race: Afro-caucasian,NA
134M.,NA,NA,NA,NA,Asian British,NA,Race: Pakistani,NA
9T12.,NA,NA,NA,NA,Other,NA,Other European in New Zealand,NA
9T13.,NA,NA,NA,NA,Other,NA,New Zealand Maori,NA
9T14.,NA,NA,NA,NA,Other,NA,Samoan,NA
9T16.,NA,NA,NA,NA,Other,NA,Tongan,NA
9T17.,NA,NA,NA,NA,Other,NA,Niuean,NA
9T18.,NA,NA,NA,NA,Other,NA,Tokelauan,NA
9T19.,NA,NA,NA,NA,Other,NA,Fijian,NA
9T1B.,NA,NA,NA,NA,Asian British,NA,South East Asian,NA
9T1C.,NA,NA,NA,NA,Other,NA,Chinese,NA
X76Gp,NA,NA,NA,NA,Other,NA,Race: Other,NA
XaBz7,NA,NA,NA,NA,Black,NA,Black West Indian,NA
XaBz8,NA,NA,NA,NA,Black,NA,Black Guyana,NA
Xacua,NA,NA,NA,NA,Mixed,NA,Mixed: other Mixed/multiple ethnic backgrd - NI 2011 census,NA
Xacuc,NA,NA,NA,NA,Asian British,NA,Asian or Asian British: Indian - NI ethnic cat 2011 census,NA
Xacui,NA,NA,NA,NA,Asian British,NA,Asian/Asian British: Pakistani - NI ethnic cat 2011 census,NA
Xacuj,NA,NA,NA,NA,Asian British,NA,Asian/Asian British: Bangladeshi - NI ethnic cat 2011 census,NA
Xacuk,NA,NA,NA,NA,Other,NA,Asian/Asian British: Chinese - NI ethnic cat 2011 census,NA
Xacul,NA,NA,NA,NA,Asian British,NA,Asian/Asian British: other Asian - NI ethnic cat 2011 census,NA
Xacum,NA,NA,NA,NA,Black,NA,Black/Afri/Carib/Black Brit: African- NI eth cat 2011 census,NA
Xacun,NA,NA,NA,NA,Black,NA,Black/Afri/Carib/Black Brit: Caribbean- NI eth cat 2011 cens,NA
Xacuo,NA,NA,NA,NA,Black,NA,Black/Afri/Carib/Black Brit: other - NI eth cat 2011 census,NA
Xacup,NA,NA,NA,NA,Other,NA,Other ethnic group: Arab - NI ethnic category 2011 census,NA
Xacuq,NA,NA,NA,NA,Other,NA,Other ethnic group: any other grp- NI ethnic cat 2011 census,NA
XacuQ,NA,NA,NA,NA,White,NA,White - Northern Ireland ethnic category 2011 census,NA
XacuR,NA,NA,NA,NA,White,NA,Irish Traveller - Northern Ireland ethnic cat 2011 census,NA
Xacus,NA,NA,NA,NA,White,NA,White: Scottish - Scotland ethnic category 2011 census,NA
XacuS,NA,NA,NA,NA,Mixed,NA,Mixed: White and Black Caribbean - NI ethnic cat 2011 census,NA
Xacut,NA,NA,NA,NA,White,NA,White: other British - Scotland ethnic category 2011 census,NA
XacuT,NA,NA,NA,NA,Mixed,NA,Mixed: White and Black African - NI ethnic cat 2011 census,NA
Xacuu,NA,NA,NA,NA,White,NA,White: Irish - Scotland ethnic category 2011 census,NA
XacuU,NA,NA,NA,NA,Mixed,NA,Mixed: White and Asian - NI ethnic category 2011 census,NA
Xacuv,NA,NA,NA,NA,White,NA,White: Gypsy/Irish Traveller - Scotland ethnic cat 2011 cens,NA
Xacux,NA,NA,NA,NA,White,NA,White: Polish - Scotland ethnic category 2011 census,NA
Xacuy,NA,NA,NA,NA,White,NA,White: other White ethnic grp- Scotland ethnic cat 2011 cens,NA
Xacuz,NA,NA,NA,NA,Mixed,NA,Mixed/multiple ethnic grps: any- Scot ethnic cat 2011 census,NA
Xacv0,NA,NA,NA,NA,Asian British,NA,Asian: Pakistani/Pakistani Scot/Pakistani Brit- Scot 2011,NA
Xacv2,NA,NA,NA,NA,Asian British,NA,"Asian: Indian, Indian Scot/Indian Brit- Scotland 2011 census",NA
Xacv5,NA,NA,NA,NA,Asian British,NA,"Bangladeshi, Bangladeshi Scot or Bangladeshi Brit- Scot 2011",NA
Xacva,NA,NA,NA,NA,Black,NA,Carib/Black: any other Black/Caribbean grp - Scotland 2011,NA
Xacvb,NA,NA,NA,NA,Other,NA,Other ethnic grp: Arab/Arab Scot/Arab British- Scotland 2011,NA
Xacvc,NA,NA,NA,NA,Other,NA,Other ethnic grp: any other ethnic grp- Scotland 2011 census,NA
XacvF,NA,NA,NA,NA,Other,NA,Asian: Chinese - Scotland ethnic category 2011 census,NA
XacvG,NA,NA,NA,NA,Asian British,NA,Asian: other Asian group - Scotland ethnic cat 2011 census,NA
XacvH,NA,NA,NA,NA,Black,NA,African: African/African Scot/African Brit - Scotland 2011,NA
XacvI,NA,NA,NA,NA,Black,NA,African: any other African - Scotland ethnic cat 2011 census,NA
XacvJ,NA,NA,NA,NA,Black,NA,Carib/Black: Caribbean/Carib Scot/Carib Brit- Scotland 2011,NA
XacvZ,NA,NA,NA,NA,Black,NA,Carib/Black: Black/Black Scot/Black Brit- Scotland 2011 cens,NA
XaE4A,NA,NA,NA,NA,Other,NA,Vietnamese,NA
XaedN,NA,NA,NA,NA,White,NA,Slovak Roma,NA
XaedQ,NA,NA,NA,NA,White,NA,Czech Roma,NA
XaedS,NA,NA,NA,NA,White,NA,Hungarian Roma,NA
XaedT,NA,NA,NA,NA,White,NA,Polish Roma,NA
XaedU,NA,NA,NA,NA,White,NA,Romanian Roma,NA
XaedV,NA,NA,NA,NA,White,NA,Roma ethnic group,NA
XaedW,NA,NA,NA,NA,White,NA,Bulgarian Roma,NA
XaFwD,NA,NA,NA,NA,White,NA,White British,NA
XaFwE,NA,NA,NA,NA,White,NA,White Irish,NA
XaFwF,NA,NA,NA,NA,White,NA,Other white ethnic group,NA
XaFwG,NA,NA,NA,NA,Mixed,NA,Mixed ethnic census group,NA
XaFwH,NA,NA,NA,NA,Black,NA,Black - ethnic group,NA
XaFwy,NA,NA,NA,NA,Black,NA,Other black ethnic group,NA
XaFwz,NA,NA,NA,NA,Asian British,NA,Asian - ethnic group,NA
XaFx0,NA,NA,NA,NA,Asian British,NA,Other Asian ethnic group,NA
XaFx1,NA,NA,NA,NA,Other,NA,Other ethnic group,NA
XaFx2,NA,NA,NA,NA,White,NA,Irish traveller,NA
XaIB5,NA,NA,NA,NA,Mixed,NA,Black Caribbean and White,NA
XaIB6,NA,NA,NA,NA,Mixed,NA,Black African and White,NA
XaIuh,NA,NA,NA,NA,White,NA,White Scottish,NA
XaIui,NA,NA,NA,NA,White,NA,Other white British ethnic group,NA
XaJQv,NA,NA,NA,NA,White,NA,British or mixed British - ethnic category 2001 census,NA
XaJQw,NA,NA,NA,NA,White,NA,Irish - ethnic category 2001 census,NA
XaJQx,NA,NA,NA,NA,White,NA,Other White background - ethnic category 2001 census,NA
XaJQz,NA,NA,NA,NA,Mixed,NA,White and Black African - ethnic category 2001 census,NA
XaJR1,NA,NA,NA,NA,Mixed,NA,Other Mixed background - ethnic category 2001 census,NA
XaJR5,NA,NA,NA,NA,Asian British,NA,Other Asian background - ethnic category 2001 census,NA
XaJR6,NA,NA,NA,NA,Black,NA,Caribbean - ethnic category 2001 census,NA
XaJR7,NA,NA,NA,NA,Black,NA,African - ethnic category 2001 census,NA
XaJR8,NA,NA,NA,NA,Black,NA,Other Black background - ethnic category 2001 census,NA
XaJRa,NA,NA,NA,NA,Black,NA,Black British - ethnic category 2001 census,NA
XaJRb,NA,NA,NA,NA,Black,NA,Other Black or Black unspecified ethnic category 2001 census,NA
XaJRc,NA,NA,NA,NA,Other,NA,Vietnamese - ethnic category 2001 census,NA
XaJRC,NA,NA,NA,NA,White,NA,English - ethnic category 2001 census,NA
XaJRd,NA,NA,NA,NA,Other,NA,Japanese - ethnic category 2001 census,NA
XaJRD,NA,NA,NA,NA,White,NA,Scottish - ethnic category 2001 census,NA
XaJRe,NA,NA,NA,NA,Other,NA,Filipino - ethnic category 2001 census,NA
XaJRE,NA,NA,NA,NA,White,NA,Welsh - ethnic category 2001 census,NA
XaJRf,NA,NA,NA,NA,Other,NA,Malaysian - ethnic category 2001 census,NA
XaJRF,NA,NA,NA,NA,White,NA,Northern Irish - ethnic category 2001 census,NA
XaJRg,NA,NA,NA,NA,White,NA,Cypriot (part not stated) - ethnic category 2001 census,NA
XaJRG,NA,NA,NA,NA,White,NA,Cornish - ethnic category 2001 census,NA
XaJRh,NA,NA,NA,NA,White,NA,Ulster Scots - ethnic category 2001 census,NA
XaJRH,NA,NA,NA,NA,Mixed,NA,Black and Asian - ethnic category 2001 census,NA
XaJRi,NA,NA,NA,NA,White,NA,Greek - ethnic category 2001 census,NA
XaJRI,NA,NA,NA,NA,Mixed,NA,Black and Chinese - ethnic category 2001 census,NA
XaJRj,NA,NA,NA,NA,White,NA,Greek Cypriot - ethnic category 2001 census,NA
XaJRJ,NA,NA,NA,NA,Mixed,NA,Black and White - ethnic category 2001 census,NA
XaJRk,NA,NA,NA,NA,White,NA,Turkish - ethnic category 2001 census,NA
XaJRK,NA,NA,NA,NA,Mixed,NA,Chinese and White - ethnic category 2001 census,NA
XaJRl,NA,NA,NA,NA,White,NA,Turkish Cypriot - ethnic category 2001 census,NA
XaJRm,NA,NA,NA,NA,White,NA,Italian - ethnic category 2001 census,NA
XaJRM,NA,NA,NA,NA,Mixed,NA,Other Mixed or Mixed unspecified ethnic category 2001 census,NA
XaJRN,NA,NA,NA,NA,Mixed,NA,Mixed Asian - ethnic category 2001 census,NA
XaJRO,NA,NA,NA,NA,Asian British,NA,Punjabi - ethnic category 2001 census,NA
XaJRP,NA,NA,NA,NA,Asian British,NA,Kashmiri - ethnic category 2001 census,NA
XaJRQ,NA,NA,NA,NA,Asian British,NA,East African Asian - ethnic category 2001 census,NA
XaJRR,NA,NA,NA,NA,Asian British,NA,Sri Lankan - ethnic category 2001 census,NA
XaJRS,NA,NA,NA,NA,Asian British,NA,Tamil - ethnic category 2001 census,NA
XaJRT,NA,NA,NA,NA,Asian British,NA,Sinhalese - ethnic category 2001 census,NA
XaJRU,NA,NA,NA,NA,Asian British,NA,British Asian - ethnic category 2001 census,NA
XaJRV,NA,NA,NA,NA,Asian British,NA,Caribbean Asian - ethnic category 2001 census,NA
XaJRW,NA,NA,NA,NA,Asian British,NA,Other Asian or Asian unspecified ethnic category 2001 census,NA
XaJRX,NA,NA,NA,NA,Black,NA,Somali - ethnic category 2001 census,NA
XaJRY,NA,NA,NA,NA,Mixed,NA,Mixed Black - ethnic category 2001 census,NA
XaJRZ,NA,NA,NA,NA,Black,NA,Nigerian - ethnic category 2001 census,NA
XaJSa,NA,NA,NA,NA,Other,NA,South and Central American - ethnic category 2001 census,NA
XaJSb,NA,NA,NA,NA,Other,NA,Mauritian/Seychellois/Maldivian/St Helena eth cat 2001census,NA
XaJSc,NA,NA,NA,NA,Other,NA,Buddhist - ethnic category 2001 census,NA
XaJSd,NA,NA,NA,NA,Other,NA,Hindu - ethnic category 2001 census,NA
XaJSe,NA,NA,NA,NA,Other,NA,Muslim - ethnic category 2001 census,NA
XaJSE,NA,NA,NA,NA,White,NA,Polish - ethnic category 2001 census,NA
XaJSf,NA,NA,NA,NA,Other,NA,Sikh - ethnic category 2001 census,NA
XaJSF,NA,NA,NA,NA,White,NA,Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census,NA
XaJSG,NA,NA,NA,NA,White,NA,Commonwealth (Russian) Indep States - ethn categ 2001 census,NA
XaJSH,NA,NA,NA,NA,White,NA,Kosovan - ethnic category 2001 census,NA
XaJSI,NA,NA,NA,NA,White,NA,Albanian - ethnic category 2001 census,NA
XaJSJ,NA,NA,NA,NA,White,NA,Bosnian - ethnic category 2001 census,NA
XaJSK,NA,NA,NA,NA,White,NA,Croatian - ethnic category 2001 census,NA
XaJSL,NA,NA,NA,NA,White,NA,Serbian - ethnic category 2001 census,NA
XaJSM,NA,NA,NA,NA,White,NA,Other republics former Yugoslavia - ethnic categ 2001 census,NA
XaJSN,NA,NA,NA,NA,White,NA,Mixed Irish and other White - ethnic category 2001 census,NA
XaJSO,NA,NA,NA,NA,White,NA,Other mixed White - ethnic category 2001 census,NA
XaJSP,NA,NA,NA,NA,White,NA,Oth White European/European unsp/Mixed European 2001 census,NA
XaJSQ,NA,NA,NA,NA,White,NA,Other White or White unspecified ethnic category 2001 census,NA
XaJSR,NA,NA,NA,NA,Other,NA,Jewish - ethnic category 2001 census,NA
XaJST,NA,NA,NA,NA,Black,NA,North African - ethnic category 2001 census,NA
XaJSU,NA,NA,NA,NA,Other,NA,"Mid East (excl Israeli, Iranian & Arab) - eth cat 2001 cens",NA
XaJSV,NA,NA,NA,NA,Other,NA,Israeli - ethnic category 2001 census,NA
XaJSW,NA,NA,NA,NA,Other,NA,Iranian - ethnic category 2001 census,NA
XaJSX,NA,NA,NA,NA,Other,NA,Kurdish - ethnic category 2001 census,NA
XaJSY,NA,NA,NA,NA,Other,NA,Moroccan - ethnic category 2001 census,NA
XaJSZ,NA,NA,NA,NA,Other,NA,Latin American - ethnic category 2001 census,NA
XaN9x,NA,NA,NA,NA,Other,NA,Yemeni,NA
XaR4o,NA,NA,NA,NA,White,NA,Romanian,NA
XaR4p,NA,NA,NA,NA,White,NA,Bulgarian,NA
XaR61,NA,NA,NA,NA,White,NA,Czech,NA
XaVw5,NA,NA,NA,NA,White,NA,Slovak,NA
XaW8w,NA,NA,NA,NA,White,NA,Portuguese,NA
XaW95,NA,NA,NA,NA,Asian British,NA,Nepali,NA
XE2Nt,NA,NA,NA,NA,Black,NA,Black Caribbean/W.I./Guyana,NA
XE2Nu,NA,NA,NA,NA,Black,NA,Black N African/Arab/Iranian,NA
XE2Nv,NA,NA,NA,NA,Black,NA,Black East African Asian/Indo-Caribbean,NA
XE2Nw,NA,NA,NA,NA,Black,NA,Caribbean I./W.I./Guyana (NMO),NA
XE2Nx,NA,NA,NA,NA,Other,NA,N African Arab/Iranian (NMO),NA
XE2Ny,NA,NA,NA,NA,Asian British,NA,E Afric Asian/Indo-Carib (NMO),NA
XE2Nz,NA,NA,NA,NA,White,NA,Greek/Greek Cypriot (NMO),NA
XE2O0,NA,NA,NA,NA,White,NA,Turkish/Turkish Cypriot (NMO),NA
XM1S3,NA,NA,NA,NA,Black,NA,Black North African,NA
XM1S4,NA,NA,NA,NA,Black,NA,Black Arab,NA
XM1S5,NA,NA,NA,NA,Black,NA,Black Iranian,NA
XM1S6,NA,NA,NA,NA,Black,NA,Black East African Asian,NA
XM1S7,NA,NA,NA,NA,Black,NA,Black Indo-Caribbean,NA
XM1S8,NA,NA,NA,NA,Black,NA,Caribbean Island (NMO),NA
XM1S9,NA,NA,NA,NA,Black,NA,West Indian (NMO),NA
XM1SA,NA,NA,NA,NA,Black,NA,Guyana (NMO),NA
XM1SB,NA,NA,NA,NA,Other,NA,North African Arab (NMO),NA
XM1SC,NA,NA,NA,NA,Other,NA,Iranian (NMO),NA
XM1SD,NA,NA,NA,NA,Asian British,NA,East African Asian (NMO),NA
XM1SE,NA,NA,NA,NA,Asian British,NA,Indo-Caribbean (NMO),NA
XM1SF,NA,NA,NA,NA,White,NA,Greek (NMO),NA
XM1SG,NA,NA,NA,NA,White,NA,Greek Cypriot (NMO),NA
XM1SH,NA,NA,NA,NA,White,NA,Turkish (NMO),NA
XM1SI,NA,NA,NA,NA,White,NA,Turkish Cypriot (NMO),NA
XS7AU,NA,NA,NA,NA,White,NA,Gypsies,NA
Y1527,NA,NA,NA,NA,White,NA,Traveller,NA
Y9930,NA,NA,NA,NA,White,NA,Race - British,NA
Y9931,NA,NA,NA,NA,Asian British,NA,Race - Indian,NA
Y9932,NA,NA,NA,NA,White,NA,Race - Mediterranean,NA
