read_code,cat_vision_1,cat_vision_2,cat_caliber_1,cat_phenotype_1,cat_opensafely_2,cat_res56_1,read_term_1,read_term_2
9iAA.,Asian,NA,Other Asian,Other Asian,NA,NA,Other Asian or Asian unspecified ethnic category 2001 census,NA
9iB..,Black,NA,Black Caribbean,Black Caribbean,NA,Black/Black British,Caribbean - ethnic category 2001 census,NA
9iC..,Unknown,NA,Black African,NA,NA,Black/Black British,African - ethnic category 2001 census,NA
9iD..,Other,NA,Black Other,NA,NA,Black/Black British,Other Black background - ethnic category 2001 census,NA
9iD0.,Black,NA,Black African,NA,NA,Black/Black British,Somali - ethnic category 2001 census,NA
9iD1.,Black,NA,Black African,NA,NA,Black/Black British,Nigerian - ethnic category 2001 census,NA
9iD2.,Black,NA,Black Other,NA,NA,Black/Black British,Black British - ethnic category 2001 census,NA
9iD3.,Mixed,NA,Black Other,NA,NA,NA,Mixed Black - ethnic category 2001 census,NA
9iD4.,Black,NA,Black Other,NA,NA,NA,Other Black or Black unspecified ethnic category 2001 census,NA
9iE..,Asian,Asian or Asian British: Chinese,Chinese,NA,NA,Other,Chinese - ethnic category 2001 census,NA
9iF..,Other,Other ethnic group: Any other ethnic group,Other ethnic group,NA,NA,Other,Other - ethnic category 2001 census,NA
9iF0.,Asian,NA,Other ethnic group,NA,NA,Other,Vietnamese - ethnic category 2001 census,NA
9iF1.,Asian,NA,Other ethnic group,NA,NA,Other,Japanese - ethnic category 2001 census,NA
9iF2.,Asian,NA,Other ethnic group,NA,NA,Other,Filipino - ethnic category 2001 census,NA
9iF3.,Asian,NA,Other ethnic group,NA,NA,Other,Malaysian - ethnic category 2001 census,NA
9iF4.,Unknown,NA,Other ethnic group,NA,NA,NA,Buddhist - ethnic category 2001 census,NA
9iF5.,Unknown,NA,Other ethnic group,NA,NA,NA,Hindu - ethnic category 2001 census,NA
9iF6.,Unknown,NA,Other ethnic group,NA,NA,NA,Jewish - ethnic category 2001 census,NA
9iF7.,Unknown,NA,Other ethnic group,NA,NA,NA,Muslim - ethnic category 2001 census,NA
9iF8.,Unknown,NA,Other ethnic group,NA,NA,NA,Sikh - ethnic category 2001 census,NA
9iF9.,Other,Other ethnic group: Arab,Other ethnic group,NA,NA,Other,Arab - ethnic category 2001 census,NA
9iFA.,Other,NA,Other ethnic group,NA,NA,Other,North African - ethnic category 2001 census,NA
9iFB.,Other,NA,Other ethnic group,NA,NA,Other,Mid East (excl Israeli  Iranian & Arab) - eth cat 2001 cens,"Mid East (excl Israeli, Iranian & Arab) - eth cat 2001 cens"
9iFC.,Other,NA,Other ethnic group,NA,NA,NA,Israeli - ethnic category 2001 census,NA
9iFD.,Other,NA,Other ethnic group,NA,NA,Other,Iranian - ethnic category 2001 census,NA
9iFE.,Other,NA,Other ethnic group,NA,NA,Other,Kurdish - ethnic category 2001 census,NA
9iFF.,Other,NA,Other ethnic group,NA,NA,NA,Moroccan - ethnic category 2001 census,NA
9iFG.,Other,NA,Other ethnic group,NA,NA,Other,Latin American - ethnic category 2001 census,NA
9iFH.,Other,NA,Other ethnic group,NA,NA,Other,South and Central American - ethnic category 2001 census,NA
9iFJ.,Other,NA,Other ethnic group,NA,NA,Other,Mauritian/Seychellois/Maldivian/St Helena eth cat 2001census,NA
9iFK.,Unknown,Other ethnic group: Any other ethnic group,Other ethnic group,NA,NA,Other,Any other group - ethnic category 2001 census,NA
9iG..,Other,Not stated,Ethnic group not specified,NA,NA,NA,Ethnic category not stated - 2001 census,NA
9S...,Unknown,NA,Ethnic group not specified,NA,NA,NA,Ethnic groups (census),Ethnic groups (1991 census)
9S1..,White,NA,White NOS,White NOS,White,White,White,White - ethnic group
9S10.,White,NA,White British,White British,NA,White,White British,NA
9S11.,White,NA,White Irish,White Irish,NA,White,White Irish,NA
9S12.,White,NA,White Other,White Other,NA,NA,Other white ethnic group,NA
9S13.,White,NA,White British,White British,NA,White,White Scottish,NA
9S14.,White,NA,White British,White British,NA,White,Other white British ethnic group,NA
9S2..,Black,NA,Black Caribbean,Black Caribbean,Black,Black/Black British,Black Caribbean,NA
9S3..,Black,NA,Black African,NA,Black,Black/Black British,Black African,NA
9S4..,Black,NA,Black Other,NA,Black,Black/Black British,Black other non-mixed origin,"Black, other, non-mixed origin"
9S41.,Black,NA,Black Other,NA,Black,Black/Black British,Black British,NA
9S42.,Black,NA,Black Caribbean,Black Caribbean,Black,Black/Black British,Black Caribbean,Black Caribbean &/or W.I. &/or Guyana
9S43.,Black,NA,Black Other,NA,Black,Black/Black British,Black Arab,Black N African &/or Arab &/or Iranian
9S44.,Black,NA,Black African,NA,Black,Black/Black British,Black - other African country,NA
9S45.,Black,NA,Mixed Asian and Black,Mixed Other,Black,Black/Black British,Black E Afric Asia/Indo-Caribb,Black E Afric Asia &/or Indo-Caribb
9S46.,Black,NA,Mixed Asian and Black,Mixed Other,Black,NA,Black Indian sub-continent,NA
9S47.,Black,NA,Mixed Asian and Black,Mixed Other,Black,Black/Black British,Black - other Asian,NA
9S48.,Black,NA,Black Other,NA,Black,Black/Black British,Black Black - other,NA
9S5..,Mixed,NA,Black Other,NA,Mixed,Black/Black British,Black - other mixed,"Black - other, mixed"
9S51.,Mixed,NA,Mixed NOS,Mixed NOS,Mixed,Mixed,Other Black - Black/White orig,NA
9S52.,Mixed,NA,Mixed Asian and Black,Mixed Other,Mixed,Mixed,Other Black - Black/Asian orig,NA
9S6..,Asian,NA,Indian,Indian,Asian British,Asian/British Asian,Indian,NA
9S7..,Asian,NA,Pakistani,Pakistani,Asian British,Asian/British Asian,Pakistani,NA
9S8..,Asian,NA,Bangladeshi,Bangladeshi,Asian British,Asian/British Asian,Bangladeshi,NA
9S9..,Asian,NA,Chinese,NA,NA,Other,Chinese,NA
9SA..,Other,NA,Other ethnic group,NA,Other,Other,Other ethnic non-mixed (NMO),NA
9SA1.,Other,NA,Other ethnic group,NA,Other,NA,Brit. ethnic minor. spec.(NMO),NA
9SA2.,Other,NA,Other ethnic group,NA,Other,Other,Brit. ethnic minor. unsp (NMO),NA
9SA3.,Black,NA,Black Caribbean,Black Caribbean,Black,Black/Black British,Caribbean I./W.I./Guyana (NMO),Caribbean I. &/or W.I. &/or Guyana (NMO)
9SA4.,Other,NA,Other ethnic group,NA,Other,Other,Iranian (NMO),N African Arab &/or Iranian (NMO)
9SA5.,Other,NA,Black African,NA,Black,Black/Black British,Other African countries (NMO),NA
9SA6.,Asian,NA,Mixed Asian and Black,Mixed Other,Asian British,Other,E Afric Asian/Indo-Carib (NMO),E Afric Asian &/or Indo-Carib (NMO)
9SA7.,Asian,NA,Indian,Indian,Asian British,Asian/British Asian,Indian sub-continent (NMO),NA
9SA8.,Asian,NA,Other Asian,Other Asian,Asian British,Asian/British Asian,Other Asian (NMO),NA
9SA9.,Unknown,NA,White Irish,White Irish,White,White,Irish (NMO),NA
9SAA.,Other,NA,White Other,White Other,White,Other,Greek (NMO),Greek &/or Greek Cypriot (NMO)
9SAB.,Other,NA,White Other,White Other,White,Other,Turkish (NMO),Turkish &/or Turkish Cypriot (NMO)
9SAC.,Other,NA,White Other,White Other,White,Other,Other European (NMO),NA
9SAD.,Other,NA,Other ethnic group,NA,Other,Other,Other ethnic NEC (NMO),NA
9SB..,Other,NA,Mixed Other,Mixed Other,Mixed,Mixed,Other ethnic  mixed origin,"Other ethnic, mixed origin"
9SB1.,Mixed,NA,Mixed NOS,Mixed NOS,Mixed,Mixed,Other ethnic  Black/White orig,"Other ethnic, Black/White orig"
9SB2.,Mixed,NA,Mixed White and Asian,Mixed White and Asian,Mixed,Mixed,Other ethnic  Asian/White orig,"Other ethnic, Asian/White orig"
9SB3.,Mixed,NA,White NOS,Mixed Other,Mixed,Mixed,Other ethnic  mixed white orig,"Other ethnic, mixed white orig"
9SB4.,Other,NA,Mixed Other,Mixed Other,Mixed,Mixed,Other ethnic  other mixed orig,"Other ethnic, other mixed orig"
9SB5.,Mixed,NA,Mixed White and Black,Mixed White and Black Caribbean,NA,Mixed,Black Caribbean and White,NA
